[ T - T r a c k ]
    title = Track Detection using [T-track] tally
     mesh =  reg            # mesh type is region-wise
      reg = { 101 - 103 }
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =   10.00000      # maximum value of e-mesh points
#    edel =  6.9077553E-02  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  1.07152E-05  1.14815E-05  1.23027E-05  1.31826E-05
#           1.41254E-05  1.51356E-05  1.62181E-05  1.73780E-05  1.86209E-05
#           1.99526E-05  2.13796E-05  2.29087E-05  2.45471E-05  2.63027E-05
#           2.81838E-05  3.01995E-05  3.23594E-05  3.46737E-05  3.71535E-05
#           3.98107E-05  4.26580E-05  4.57088E-05  4.89779E-05  5.24807E-05
#           5.62341E-05  6.02560E-05  6.45654E-05  6.91831E-05  7.41310E-05
#           7.94328E-05  8.51138E-05  9.12011E-05  9.77237E-05  1.04713E-04
#           1.12202E-04  1.20226E-04  1.28825E-04  1.38038E-04  1.47911E-04
#           1.58489E-04  1.69824E-04  1.81970E-04  1.94984E-04  2.08930E-04
#           2.23872E-04  2.39883E-04  2.57040E-04  2.75423E-04  2.95121E-04
#           3.16228E-04  3.38844E-04  3.63078E-04  3.89045E-04  4.16869E-04
#           4.46684E-04  4.78630E-04  5.12861E-04  5.49541E-04  5.88844E-04
#           6.30957E-04  6.76083E-04  7.24436E-04  7.76247E-04  8.31764E-04
#           8.91251E-04  9.54993E-04  1.02329E-03  1.09648E-03  1.17490E-03
#           1.25893E-03  1.34896E-03  1.44544E-03  1.54882E-03  1.65959E-03
#           1.77828E-03  1.90546E-03  2.04174E-03  2.18776E-03  2.34423E-03
#           2.51189E-03  2.69153E-03  2.88403E-03  3.09030E-03  3.31131E-03
#           3.54813E-03  3.80189E-03  4.07380E-03  4.36516E-03  4.67735E-03
#           5.01187E-03  5.37032E-03  5.75440E-03  6.16595E-03  6.60693E-03
#           7.07946E-03  7.58578E-03  8.12831E-03  8.70964E-03  9.33254E-03
#           1.00000E-02  1.07152E-02  1.14815E-02  1.23027E-02  1.31826E-02
#           1.41254E-02  1.51356E-02  1.62181E-02  1.73780E-02  1.86209E-02
#           1.99526E-02  2.13796E-02  2.29087E-02  2.45471E-02  2.63027E-02
#           2.81838E-02  3.01995E-02  3.23594E-02  3.46737E-02  3.71535E-02
#           3.98107E-02  4.26580E-02  4.57088E-02  4.89779E-02  5.24807E-02
#           5.62341E-02  6.02560E-02  6.45654E-02  6.91831E-02  7.41310E-02
#           7.94328E-02  8.51138E-02  9.12011E-02  9.77237E-02  1.04713E-01
#           1.12202E-01  1.20226E-01  1.28825E-01  1.38038E-01  1.47911E-01
#           1.58489E-01  1.69824E-01  1.81970E-01  1.94984E-01  2.08930E-01
#           2.23872E-01  2.39883E-01  2.57040E-01  2.75423E-01  2.95121E-01
#           3.16228E-01  3.38844E-01  3.63078E-01  3.89045E-01  4.16869E-01
#           4.46684E-01  4.78630E-01  5.12861E-01  5.49541E-01  5.88844E-01
#           6.30957E-01  6.76083E-01  7.24436E-01  7.76247E-01  8.31764E-01
#           8.91251E-01  9.54993E-01  1.02329E+00  1.09648E+00  1.17490E+00
#           1.25893E+00  1.34896E+00  1.44544E+00  1.54882E+00  1.65959E+00
#           1.77828E+00  1.90546E+00  2.04174E+00  2.18776E+00  2.34423E+00
#           2.51189E+00  2.69153E+00  2.88403E+00  3.09030E+00  3.31131E+00
#           3.54813E+00  3.80189E+00  4.07380E+00  4.36516E+00  4.67735E+00
#           5.01187E+00  5.37032E+00  5.75440E+00  6.16595E+00  6.60693E+00
#           7.07946E+00  7.58578E+00  8.12831E+00  8.70964E+00  9.33254E+00
#           1.00000E+01
     unit =    2            # unit is [1/cm^2/MeV/source]
 material =  all            # (D=all) number of specific material
     axis =  eng            # axis of output
     file = track_eng.out   # file name of output for the above axis
     part =  neutron    photon   
# kf/name :  2112       22       
    gshow =    3            # 0: no 1:bnd, 2:bnd+mat, 3:bnd+reg 4:bnd+lat 5:bmp style
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         209 (  0)           0 (  0)         209 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    101

x: Energy [MeV]
y: Flux [1/cm^2/MeV/source]          
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l   n y(photon  ),hh0dr  n 
   3.8905E-04   4.1687E-04   1.8548E-04  0.6909   0.0000E+00  0.0000
   4.1687E-04   4.4668E-04   2.3619E-04  0.7932   0.0000E+00  0.0000
   4.4668E-04   4.7863E-04   3.3053E-05  1.0000   0.0000E+00  0.0000
   4.7863E-04   5.1286E-04   4.1055E-04  0.5197   0.0000E+00  0.0000
   5.1286E-04   5.4954E-04   8.5576E-05  1.0000   0.0000E+00  0.0000
   5.4954E-04   5.8884E-04   1.5811E-04  0.7299   0.0000E+00  0.0000
   5.8884E-04   6.3096E-04   4.9802E-05  0.5947   0.0000E+00  0.0000
   6.3096E-04   6.7608E-04   9.3961E-05  0.6025   0.0000E+00  0.0000
   6.7608E-04   7.2444E-04   3.0682E-05  0.9083   0.0000E+00  0.0000
   7.2444E-04   7.7625E-04   1.0147E-04  0.6472   0.0000E+00  0.0000
   7.7625E-04   8.3176E-04   1.8627E-04  0.7389   0.0000E+00  0.0000
   8.3176E-04   8.9125E-04   3.4508E-04  0.4556   0.0000E+00  0.0000
   8.9125E-04   9.5499E-04   7.9806E-05  0.7239   0.0000E+00  0.0000
   9.5499E-04   1.0233E-03   1.4527E-04  0.4267   2.9263E-07  0.0325
   1.0233E-03   1.0965E-03   2.0868E-04  0.4802   9.5339E-07  0.0176
   1.0965E-03   1.1749E-03   1.4660E-04  0.5105   1.0626E-06  0.0178
   1.1749E-03   1.2589E-03   2.2601E-04  0.4222   1.1857E-06  0.0167
   1.2589E-03   1.3490E-03   4.3070E-04  0.4156   1.3409E-06  0.0164
   1.3490E-03   1.4454E-03   2.6849E-04  0.3056   1.5141E-06  0.0164
   1.4454E-03   1.5488E-03   2.8430E-04  0.2871   1.6099E-06  0.0168
   1.5488E-03   1.6596E-03   6.0039E-04  0.2817   1.7761E-06  0.0160
   1.6596E-03   1.7783E-03   4.3674E-04  0.2839   1.9816E-06  0.0160
   1.7783E-03   1.9055E-03   3.2919E-04  0.2506   2.1158E-06  0.0155
   1.9055E-03   2.0417E-03   4.9373E-04  0.2992   2.3263E-06  0.0155
   2.0417E-03   2.1878E-03   3.7210E-04  0.2477   2.6129E-06  0.0152
   2.1878E-03   2.3442E-03   4.1035E-04  0.2899   2.8052E-06  0.0159
   2.3442E-03   2.5119E-03   2.2694E-04  0.2957   2.6466E-06  0.0158
   2.5119E-03   2.6915E-03   2.3240E-04  0.2894   1.1443E-06  0.0154
   2.6915E-03   2.8840E-03   4.6517E-04  0.2130   9.6821E-07  0.0155
   2.8840E-03   3.0903E-03   3.6286E-04  0.2054   9.9421E-07  0.0154
   3.0903E-03   3.3113E-03   4.8659E-04  0.2101   9.5710E-07  0.0154
   3.3113E-03   3.5481E-03   3.8437E-04  0.2123   1.0695E-06  0.0155
   3.5481E-03   3.8019E-03   3.0010E-04  0.2114   1.1216E-06  0.0158
   3.8019E-03   4.0738E-03   5.4672E-04  0.1904   1.1907E-06  0.0158
   4.0738E-03   4.3652E-03   5.3477E-04  0.1518   1.3168E-06  0.0155
   4.3652E-03   4.6774E-03   5.6678E-04  0.1567   1.4297E-06  0.0160
   4.6774E-03   5.0119E-03   5.7326E-04  0.1470   1.5938E-06  0.0156
   5.0119E-03   5.3703E-03   6.1833E-04  0.1360   1.7909E-06  0.0156
   5.3703E-03   5.7544E-03   6.0825E-04  0.1232   1.9415E-06  0.0158
   5.7544E-03   6.1660E-03   5.9847E-04  0.1279   2.0982E-06  0.0152
   6.1660E-03   6.6069E-03   6.8902E-04  0.1134   2.3858E-06  0.0160
   6.6069E-03   7.0795E-03   7.0879E-04  0.1038   2.6027E-06  0.0156
   7.0795E-03   7.5858E-03   7.7401E-04  0.0983   2.9202E-06  0.0167
   7.5858E-03   8.1283E-03   6.2779E-04  0.1157   3.0928E-06  0.0163
   8.1283E-03   8.7096E-03   5.6684E-04  0.1052   3.5705E-06  0.0158
   8.7096E-03   9.3325E-03   7.4338E-04  0.0850   7.9375E-06  0.0117
   9.3325E-03   1.0000E-02   7.6714E-04  0.0879   4.3715E-06  0.0160
   1.0000E-02   1.0715E-02   8.0496E-04  0.0801   1.0480E-04  0.0036
   1.0715E-02   1.1482E-02   7.7999E-04  0.0854   6.9489E-06  0.0140
   1.1482E-02   1.2303E-02   7.6357E-04  0.0748   7.7358E-06  0.0139
   1.2303E-02   1.3183E-02   7.8938E-04  0.0673   1.2822E-04  0.0040
   1.3183E-02   1.4125E-02   8.0242E-04  0.0702   3.3056E-06  0.0150
   1.4125E-02   1.5136E-02   8.7188E-04  0.0670   1.3190E-05  0.0084
   1.5136E-02   1.6218E-02   7.1844E-04  0.0713   5.7010E-06  0.0113
   1.6218E-02   1.7378E-02   8.4840E-04  0.0629   2.5122E-06  0.0166
   1.7378E-02   1.8621E-02   7.7752E-04  0.0639   2.8359E-06  0.0162
   1.8621E-02   1.9953E-02   1.0400E-03  0.0514   3.0667E-06  0.0166
   1.9953E-02   2.1380E-02   1.0815E-03  0.0516   3.4666E-06  0.0158
   2.1380E-02   2.2909E-02   1.1585E-03  0.0454   3.8091E-06  0.0168
   2.2909E-02   2.4547E-02   1.3597E-03  0.0407   4.2753E-06  0.0168
   2.4547E-02   2.6303E-02   1.4855E-03  0.0373   4.6460E-06  0.0168
   2.6303E-02   2.8184E-02   1.2330E-03  0.0412   5.0192E-06  0.0157
   2.8184E-02   3.0200E-02   1.0897E-03  0.0428   5.7980E-06  0.0163
   3.0200E-02   3.2359E-02   1.2605E-03  0.0378   6.4552E-06  0.0177
   3.2359E-02   3.4674E-02   1.2802E-03  0.0358   7.1876E-06  0.0167
   3.4674E-02   3.7154E-02   1.2376E-03  0.0358   7.8495E-06  0.0173
   3.7154E-02   3.9811E-02   1.3618E-03  0.0318   8.8725E-06  0.0172
   3.9811E-02   4.2658E-02   1.3698E-03  0.0304   9.6263E-06  0.0178
   4.2658E-02   4.5709E-02   1.4084E-03  0.0294   1.0967E-05  0.0176
   4.5709E-02   4.8978E-02   1.6842E-03  0.0256   1.2414E-05  0.0171
   4.8978E-02   5.2481E-02   1.6889E-03  0.0257   1.3951E-05  0.0177
   5.2481E-02   5.6234E-02   1.5624E-03  0.0248   1.6484E-05  0.0162
   5.6234E-02   6.0256E-02   1.5979E-03  0.0253   2.2788E-05  0.0153
   6.0256E-02   6.4565E-02   1.7814E-03  0.0226   2.7091E-05  0.0139
   6.4565E-02   6.9183E-02   1.8245E-03  0.0220   3.3160E-05  0.0136
   6.9183E-02   7.4131E-02   1.9168E-03  0.0195   4.9538E-04  0.0042
   7.4131E-02   7.9433E-02   1.7740E-03  0.0195   8.0916E-04  0.0034
   7.9433E-02   8.5114E-02   1.8336E-03  0.0187   3.7561E-04  0.0051
   8.5114E-02   9.1201E-02   1.9882E-03  0.0180   1.2770E-04  0.0087
   9.1201E-02   9.7724E-02   2.0241E-03  0.0173   7.5330E-06  0.0183
   9.7724E-02   1.0471E-01   2.1002E-03  0.0169   8.4741E-06  0.0180
   1.0471E-01   1.1220E-01   2.1060E-03  0.0161   9.6918E-06  0.0182
   1.1220E-01   1.2023E-01   2.2680E-03  0.0148   1.1386E-05  0.0172
   1.2023E-01   1.2882E-01   2.3811E-03  0.0139   1.3512E-05  0.0165
   1.2882E-01   1.3804E-01   2.5460E-03  0.0131   1.6286E-05  0.0158
   1.3804E-01   1.4791E-01   2.2949E-03  0.0133   2.0328E-05  0.0158
   1.4791E-01   1.5849E-01   2.4072E-03  0.0128   2.5037E-05  0.0146
   1.5849E-01   1.6982E-01   2.5420E-03  0.0119   3.2673E-05  0.0134
   1.6982E-01   1.8197E-01   2.6413E-03  0.0112   4.5547E-05  0.0118
   1.8197E-01   1.9498E-01   2.6352E-03  0.0110   6.3386E-05  0.0104
   1.9498E-01   2.0893E-01   2.6431E-03  0.0106   8.2089E-05  0.0101
   2.0893E-01   2.2387E-01   2.7847E-03  0.0100   9.8273E-05  0.0095
   2.2387E-01   2.3988E-01   2.8161E-03  0.0096   1.0937E-04  0.0091
   2.3988E-01   2.5704E-01   2.8602E-03  0.0096   1.2401E-04  0.0094
   2.5704E-01   2.7542E-01   2.9867E-03  0.0088   1.3000E-04  0.0090
   2.7542E-01   2.9512E-01   2.9115E-03  0.0088   1.4620E-04  0.0091
   2.9512E-01   3.1623E-01   3.1313E-03  0.0079   1.5101E-04  0.0095
   3.1623E-01   3.3884E-01   3.0225E-03  0.0078   1.6413E-04  0.0092
   3.3884E-01   3.6308E-01   3.2688E-03  0.0075   2.1860E-04  0.0083
   3.6308E-01   3.8905E-01   3.2245E-03  0.0071   1.8108E-04  0.0094
   3.8905E-01   4.1687E-01   3.2485E-03  0.0069   1.7863E-04  0.0092
   4.1687E-01   4.4668E-01   3.2645E-03  0.0067   1.8581E-04  0.0095
   4.4668E-01   4.7863E-01   3.3029E-03  0.0067   1.9838E-04  0.0095
   4.7863E-01   5.1286E-01   3.4273E-03  0.0063   6.4496E-04  0.0063
   5.1286E-01   5.4954E-01   3.2932E-03  0.0060   4.2634E-04  0.0064
   5.4954E-01   5.8884E-01   3.3333E-03  0.0059   9.1946E-04  0.0046
   5.8884E-01   6.3096E-01   3.3847E-03  0.0055   1.5490E-04  0.0108
   6.3096E-01   6.7608E-01   3.2606E-03  0.0054   2.7911E-04  0.0080
   6.7608E-01   7.2444E-01   3.3216E-03  0.0056   1.6119E-04  0.0110
   7.2444E-01   7.7625E-01   3.2046E-03  0.0051   1.8288E-04  0.0099
   7.7625E-01   8.3176E-01   3.1863E-03  0.0050   9.8082E-04  0.0044
   8.3176E-01   8.9125E-01   3.0021E-03  0.0049   3.7244E-04  0.0072
   8.9125E-01   9.5499E-01   3.0181E-03  0.0049   3.3812E-04  0.0069
   9.5499E-01   1.0233E+00   2.8744E-03  0.0049   1.4837E-04  0.0110
   1.0233E+00   1.0965E+00   2.7996E-03  0.0046   1.5789E-04  0.0104
   1.0965E+00   1.1749E+00   2.7444E-03  0.0046   8.6810E-05  0.0138
   1.1749E+00   1.2589E+00   2.6361E-03  0.0045   8.0509E-05  0.0138
   1.2589E+00   1.3490E+00   2.4960E-03  0.0044   1.0012E-04  0.0124
   1.3490E+00   1.4454E+00   2.3998E-03  0.0046   1.4070E-04  0.0105
   1.4454E+00   1.5488E+00   2.2554E-03  0.0043   8.0272E-05  0.0129
   1.5488E+00   1.6596E+00   2.1548E-03  0.0043   7.5419E-05  0.0136
   1.6596E+00   1.7783E+00   1.9583E-03  0.0043   1.1175E-04  0.0108
   1.7783E+00   1.9055E+00   1.8704E-03  0.0042   4.7169E-05  0.0165
   1.9055E+00   2.0417E+00   1.7091E-03  0.0043   3.8227E-05  0.0182
   2.0417E+00   2.1878E+00   1.5420E-03  0.0044   4.8539E-05  0.0147
   2.1878E+00   2.3442E+00   1.4193E-03  0.0045   3.5892E-05  0.0167
   2.3442E+00   2.5119E+00   1.2843E-03  0.0043   3.0123E-05  0.0182
   2.5119E+00   2.6915E+00   1.1517E-03  0.0045   2.8061E-04  0.0057
   2.6915E+00   2.8840E+00   1.0055E-03  0.0046   2.5201E-05  0.0183
   2.8840E+00   3.0903E+00   8.7312E-04  0.0047   1.4467E-05  0.0251
   3.0903E+00   3.3113E+00   7.5449E-04  0.0050   1.2385E-05  0.0260
   3.3113E+00   3.5481E+00   6.4537E-04  0.0052   1.0240E-05  0.0266
   3.5481E+00   3.8019E+00   5.5213E-04  0.0053   8.4628E-06  0.0279
   3.8019E+00   4.0738E+00   4.6269E-04  0.0057   1.2174E-05  0.0234
   4.0738E+00   4.3652E+00   3.7886E-04  0.0060   2.2356E-05  0.0162
   4.3652E+00   4.6774E+00   3.1032E-04  0.0062   3.9640E-06  0.0380
   4.6774E+00   5.0119E+00   2.4983E-04  0.0067   3.2852E-06  0.0411
   5.0119E+00   5.3703E+00   2.0200E-04  0.0072   2.0538E-06  0.0508
   5.3703E+00   5.7544E+00   1.5955E-04  0.0079   1.3587E-06  0.0633
   5.7544E+00   6.1660E+00   1.2872E-04  0.0087   9.8361E-07  0.0667
   6.1660E+00   6.6069E+00   9.6823E-05  0.0098   5.7949E-07  0.0790
   6.6069E+00   7.0795E+00   7.1854E-05  0.0107   4.9299E-07  0.0845
   7.0795E+00   7.5858E+00   5.3263E-05  0.0119   3.9719E-07  0.0872
   7.5858E+00   8.1283E+00   3.7185E-05  0.0145   3.1453E-07  0.0890
   8.1283E+00   8.7096E+00   2.5340E-05  0.0164   1.6421E-07  0.1235
   8.7096E+00   9.3325E+00   1.6924E-05  0.0193   8.6676E-08  0.1616
   9.3325E+00   1.0000E+01   1.1872E-05  0.0218   3.0771E-08  0.3859

#   sum over                 7.7182E-04           4.6440E-05

'no. =  1,  reg  =    101'
msuc: {\huge Track Detection using [T-track] tally}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.17}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.8878E+03 [cm^3]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  2   reg =    102

x: Energy [MeV]
y: Flux [1/cm^2/MeV/source]          
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l   n y(photon  ),hh0dr  n 
#  e-lower      e-upper      neutron     r.err    photon      r.err 
   1.0000E-05   1.0715E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0715E-05   1.1482E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1482E-05   1.2303E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2303E-05   1.3183E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3183E-05   1.4125E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4125E-05   1.5136E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5136E-05   1.6218E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6218E-05   1.7378E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7378E-05   1.8621E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8621E-05   1.9953E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
