[ T - Deposit ]
    title = Energy Deposition in lower cooper
     mesh =  reg            # mesh type is region-wise
      reg = 102
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =   10.00000      # maximum value of e-mesh points
#    edel =  6.9077553E-02  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  1.07152E-05  1.14815E-05  1.23027E-05  1.31826E-05
#           1.41254E-05  1.51356E-05  1.62181E-05  1.73780E-05  1.86209E-05
#           1.99526E-05  2.13796E-05  2.29087E-05  2.45471E-05  2.63027E-05
#           2.81838E-05  3.01995E-05  3.23594E-05  3.46737E-05  3.71535E-05
#           3.98107E-05  4.26580E-05  4.57088E-05  4.89779E-05  5.24807E-05
#           5.62341E-05  6.02560E-05  6.45654E-05  6.91831E-05  7.41310E-05
#           7.94328E-05  8.51138E-05  9.12011E-05  9.77237E-05  1.04713E-04
#           1.12202E-04  1.20226E-04  1.28825E-04  1.38038E-04  1.47911E-04
#           1.58489E-04  1.69824E-04  1.81970E-04  1.94984E-04  2.08930E-04
#           2.23872E-04  2.39883E-04  2.57040E-04  2.75423E-04  2.95121E-04
#           3.16228E-04  3.38844E-04  3.63078E-04  3.89045E-04  4.16869E-04
#           4.46684E-04  4.78630E-04  5.12861E-04  5.49541E-04  5.88844E-04
#           6.30957E-04  6.76083E-04  7.24436E-04  7.76247E-04  8.31764E-04
#           8.91251E-04  9.54993E-04  1.02329E-03  1.09648E-03  1.17490E-03
#           1.25893E-03  1.34896E-03  1.44544E-03  1.54882E-03  1.65959E-03
#           1.77828E-03  1.90546E-03  2.04174E-03  2.18776E-03  2.34423E-03
#           2.51189E-03  2.69153E-03  2.88403E-03  3.09030E-03  3.31131E-03
#           3.54813E-03  3.80189E-03  4.07380E-03  4.36516E-03  4.67735E-03
#           5.01187E-03  5.37032E-03  5.75440E-03  6.16595E-03  6.60693E-03
#           7.07946E-03  7.58578E-03  8.12831E-03  8.70964E-03  9.33254E-03
#           1.00000E-02  1.07152E-02  1.14815E-02  1.23027E-02  1.31826E-02
#           1.41254E-02  1.51356E-02  1.62181E-02  1.73780E-02  1.86209E-02
#           1.99526E-02  2.13796E-02  2.29087E-02  2.45471E-02  2.63027E-02
#           2.81838E-02  3.01995E-02  3.23594E-02  3.46737E-02  3.71535E-02
#           3.98107E-02  4.26580E-02  4.57088E-02  4.89779E-02  5.24807E-02
#           5.62341E-02  6.02560E-02  6.45654E-02  6.91831E-02  7.41310E-02
#           7.94328E-02  8.51138E-02  9.12011E-02  9.77237E-02  1.04713E-01
#           1.12202E-01  1.20226E-01  1.28825E-01  1.38038E-01  1.47911E-01
#           1.58489E-01  1.69824E-01  1.81970E-01  1.94984E-01  2.08930E-01
#           2.23872E-01  2.39883E-01  2.57040E-01  2.75423E-01  2.95121E-01
#           3.16228E-01  3.38844E-01  3.63078E-01  3.89045E-01  4.16869E-01
#           4.46684E-01  4.78630E-01  5.12861E-01  5.49541E-01  5.88844E-01
#           6.30957E-01  6.76083E-01  7.24436E-01  7.76247E-01  8.31764E-01
#           8.91251E-01  9.54993E-01  1.02329E+00  1.09648E+00  1.17490E+00
#           1.25893E+00  1.34896E+00  1.44544E+00  1.54882E+00  1.65959E+00
#           1.77828E+00  1.90546E+00  2.04174E+00  2.18776E+00  2.34423E+00
#           2.51189E+00  2.69153E+00  2.88403E+00  3.09030E+00  3.31131E+00
#           3.54813E+00  3.80189E+00  4.07380E+00  4.36516E+00  4.67735E+00
#           5.01187E+00  5.37032E+00  5.75440E+00  6.16595E+00  6.60693E+00
#           7.07946E+00  7.58578E+00  8.12831E+00  8.70964E+00  9.33254E+00
#           1.00000E+01
     axis =   eng           # axis of output
     file = deposit_Cu.out  # file name of output for the above axis
     part =  63Cu       65Cu       electron   positron   all      
# kf/name :  29000063   29000065   11         -11        0        
    y-txt = Response [cm^2]
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         205 (  0)           0 (  0)         205 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    102

x: Deposit Energy [MeV]
y: Response [cm^2]
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(63Cu    ),hh0l   n y(65Cu    ),hh0dr  n y(electron),hh0ub  n y(positron),hh0mg  n y(all     ),hh0qrr n 
#  e-lower      e-upper      63Cu        r.err    65Cu        r.err    electron    r.err    positron    r.err    all         r.err 
   7.4131E-05   7.9433E-05   9.9792E-06  0.3162   7.9834E-06  0.3536   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7963E-05  0.2357
   7.9433E-05   8.5114E-05   1.0977E-05  0.3015   9.9792E-06  0.3162   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0956E-05  0.2182
   8.5114E-05   9.1201E-05   1.4969E-05  0.2582   2.9938E-06  0.5773   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7963E-05  0.2357
   9.1201E-05   9.7724E-05   2.0956E-05  0.2182   1.2973E-05  0.2773   0.0000E+00  0.0000   0.0000E+00  0.0000   3.3929E-05  0.1715
   9.7724E-05   1.0471E-04   1.3971E-05  0.2673   8.9813E-06  0.3333   0.0000E+00  0.0000   0.0000E+00  0.0000   2.2952E-05  0.2085
   1.0471E-04   1.1220E-04   1.6965E-05  0.2425   4.9896E-06  0.4472   9.9792E-07  1.0000   0.0000E+00  0.0000   2.2952E-05  0.2085
   1.1220E-04   1.2023E-04   1.8398E-05  0.2313   1.3535E-05  0.2691   0.0000E+00  0.0000   0.0000E+00  0.0000   3.1934E-05  0.1768
   1.2023E-04   1.2882E-04   1.9958E-05  0.2236   4.9896E-06  0.4472   0.0000E+00  0.0000   0.0000E+00  0.0000   2.4948E-05  0.2000
   1.2882E-04   1.3804E-04   1.9958E-05  0.2236   9.9792E-06  0.3162   0.0000E+00  0.0000   0.0000E+00  0.0000   2.9938E-05  0.1826
   1.3804E-04   1.4791E-04   2.5946E-05  0.1961   1.2973E-05  0.2773   0.0000E+00  0.0000   0.0000E+00  0.0000   3.8919E-05  0.1601
   1.4791E-04   1.5849E-04   1.9451E-05  0.2250   1.2483E-05  0.2799   0.0000E+00  0.0000   0.0000E+00  0.0000   3.1934E-05  0.1768
   1.5849E-04   1.6982E-04   2.0285E-05  0.2206   1.2646E-05  0.2785   0.0000E+00  0.0000   0.0000E+00  0.0000   3.2932E-05  0.1741
   1.6982E-04   1.8197E-04   2.9307E-05  0.1838   1.2606E-05  0.2788   0.0000E+00  0.0000   0.0000E+00  0.0000   4.1913E-05  0.1543
   1.8197E-04   1.9498E-04   3.4927E-05  0.1690   1.5967E-05  0.2500   0.0000E+00  0.0000   0.0000E+00  0.0000   5.0894E-05  0.1400
   1.9498E-04   2.0893E-04   2.9938E-05  0.1826   1.3971E-05  0.2673   0.0000E+00  0.0000   0.0000E+00  0.0000   4.3909E-05  0.1508
   2.0893E-04   2.2387E-04   4.7200E-05  0.1451   1.8663E-05  0.2299   0.0000E+00  0.0000   0.0000E+00  0.0000   6.5863E-05  0.1231
   2.2387E-04   2.3988E-04   3.1934E-05  0.1768   1.3971E-05  0.2673   0.0000E+00  0.0000   0.0000E+00  0.0000   4.5905E-05  0.1474
   2.3988E-04   2.5704E-04   3.8647E-05  0.1603   1.7236E-05  0.2392   0.0000E+00  0.0000   0.0000E+00  0.0000   5.5884E-05  0.1336
   2.5704E-04   2.7542E-04   4.3993E-05  0.1495   2.8856E-05  0.1839   0.0000E+00  0.0000   0.0000E+00  0.0000   7.2848E-05  0.1170
   2.7542E-04   2.9512E-04   5.2115E-05  0.1378   1.9736E-05  0.2222   0.0000E+00  0.0000   0.0000E+00  0.0000   7.1851E-05  0.1179
   2.9512E-04   3.1623E-04   6.0486E-05  0.1281   2.2342E-05  0.2096   9.9792E-07  1.0000   0.0000E+00  0.0000   8.3826E-05  0.1091
   3.1623E-04   3.3884E-04   5.1733E-05  0.1387   2.5107E-05  0.1988   0.0000E+00  0.0000   0.0000E+00  0.0000   7.6840E-05  0.1140
   3.3884E-04   3.6308E-04   5.3666E-05  0.1354   2.8163E-05  0.1856   0.0000E+00  0.0000   0.0000E+00  0.0000   8.1830E-05  0.1104
   3.6308E-04   3.8905E-04   7.8596E-05  0.1123   3.8161E-05  0.1607   0.0000E+00  0.0000   0.0000E+00  0.0000   1.1676E-04  0.0925
   3.8905E-04   4.1687E-04   5.0797E-05  0.1400   2.7041E-05  0.1918   0.0000E+00  0.0000   0.0000E+00  0.0000   7.7838E-05  0.1132
   4.1687E-04   4.4668E-04   5.8008E-05  0.1309   3.7792E-05  0.1621   0.0000E+00  0.0000   0.0000E+00  0.0000   9.5801E-05  0.1021
   4.4668E-04   4.7863E-04   1.0376E-04  0.0975   5.4914E-05  0.1334   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5867E-04  0.0793
   4.7863E-04   5.1286E-04   7.7371E-05  0.1131   4.2380E-05  0.1522   0.0000E+00  0.0000   0.0000E+00  0.0000   1.1975E-04  0.0913
   5.1286E-04   5.4954E-04   8.9050E-05  0.1057   4.1678E-05  0.1544   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3173E-04  0.0870
   5.4954E-04   5.8884E-04   1.1634E-04  0.0922   5.2305E-05  0.1369   0.0000E+00  0.0000   0.0000E+00  0.0000   1.6865E-04  0.0769
   5.8884E-04   6.3096E-04   1.0458E-04  0.0972   6.5069E-05  0.1229   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7065E-04  0.0765
   6.3096E-04   6.7608E-04   1.3206E-04  0.0867   4.7568E-05  0.1439   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7963E-04  0.0745
   6.7608E-04   7.2444E-04   1.1939E-04  0.0911   4.8257E-05  0.1426   0.0000E+00  0.0000   0.0000E+00  0.0000   1.6765E-04  0.0772
   7.2444E-04   7.7625E-04   1.1927E-04  0.0908   7.0339E-05  0.1176   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8961E-04  0.0725
   7.7625E-04   8.3176E-04   1.2453E-04  0.0889   7.8052E-05  0.1119   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0258E-04  0.0702
   8.3176E-04   8.9125E-04   1.5404E-04  0.0801   6.9491E-05  0.1185   9.9792E-07  1.0000   0.0000E+00  0.0000   2.2453E-04  0.0667
   8.9125E-04   9.5499E-04   1.3936E-04  0.0838   7.4193E-05  0.1139   1.9958E-06  0.7071   0.0000E+00  0.0000   2.1555E-04  0.0680
   9.5499E-04   1.0233E-03   1.6279E-04  0.0780   9.0678E-05  0.1042   0.0000E+00  0.0000   0.0000E+00  0.0000   2.5347E-04  0.0627
   1.0233E-03   1.0965E-03   2.0560E-04  0.0692   9.6773E-05  0.1001   0.0000E+00  0.0000   0.0000E+00  0.0000   3.0237E-04  0.0574
   1.0965E-03   1.1749E-03   2.0852E-04  0.0686   9.1331E-05  0.1026   0.0000E+00  0.0000   0.0000E+00  0.0000   3.0038E-04  0.0576
   1.1749E-03   1.2589E-03   2.1140E-04  0.0682   1.0993E-04  0.0938   0.0000E+00  0.0000   0.0000E+00  0.0000   3.2133E-04  0.0557
   1.2589E-03   1.3490E-03   2.1766E-04  0.0670   1.3484E-04  0.0847   9.9792E-07  1.0000   0.0000E+00  0.0000   3.5426E-04  0.0531
   1.3490E-03   1.4454E-03   2.4883E-04  0.0628   1.0743E-04  0.0946   0.0000E+00  0.0000   0.0000E+00  0.0000   3.5626E-04  0.0529
   1.4454E-03   1.5488E-03   2.6759E-04  0.0606   1.1861E-04  0.0901   0.0000E+00  0.0000   0.0000E+00  0.0000   3.8620E-04  0.0508
   1.5488E-03   1.6596E-03   2.7639E-04  0.0595   1.4305E-04  0.0821   0.0000E+00  0.0000   0.0000E+00  0.0000   4.2013E-04  0.0487
   1.6596E-03   1.7783E-03   3.1699E-04  0.0555   1.3765E-04  0.0830   0.0000E+00  0.0000   0.0000E+00  0.0000   4.5605E-04  0.0468
   1.7783E-03   1.9055E-03   3.1682E-04  0.0555   1.4422E-04  0.0813   0.0000E+00  0.0000   0.0000E+00  0.0000   4.6104E-04  0.0465
   1.9055E-03   2.0417E-03   3.2195E-04  0.0551   1.5106E-04  0.0794   0.0000E+00  0.0000   0.0000E+00  0.0000   4.7302E-04  0.0459
   2.0417E-03   2.1878E-03   3.5843E-04  0.0520   1.6647E-04  0.0751   0.0000E+00  0.0000   0.0000E+00  0.0000   5.2491E-04  0.0436
   2.1878E-03   2.3442E-03   4.3215E-04  0.0475   1.8656E-04  0.0713   0.0000E+00  0.0000   0.0000E+00  0.0000   6.1871E-04  0.0402
   2.3442E-03   2.5119E-03   3.8168E-04  0.0505   1.7517E-04  0.0735   9.9792E-07  1.0000   0.0000E+00  0.0000   5.5884E-04  0.0423
   2.5119E-03   2.6915E-03   4.3766E-04  0.0470   1.9103E-04  0.0697   2.9938E-06  0.5773   0.0000E+00  0.0000   6.3169E-04  0.0397
   2.6915E-03   2.8840E-03   4.6363E-04  0.0458   1.8585E-04  0.0708   9.9792E-07  1.0000   0.0000E+00  0.0000   6.5065E-04  0.0392
   2.8840E-03   3.0903E-03   5.1031E-04  0.0436   2.3714E-04  0.0629   1.9958E-06  0.7071   0.0000E+00  0.0000   7.4944E-04  0.0365
   3.0903E-03   3.3113E-03   4.9632E-04  0.0443   2.6093E-04  0.0604   2.9938E-06  0.5773   0.0000E+00  0.0000   7.6042E-04  0.0362
   3.3113E-03   3.5481E-03   5.6407E-04  0.0415   2.4769E-04  0.0616   1.9958E-06  0.7071   0.0000E+00  0.0000   8.1431E-04  0.0350
   3.5481E-03   3.8019E-03   6.2674E-04  0.0392   3.0364E-04  0.0554   0.0000E+00  0.0000   0.0000E+00  0.0000   9.3106E-04  0.0327
   3.8019E-03   4.0738E-03   6.6208E-04  0.0382   3.3484E-04  0.0528   0.0000E+00  0.0000   0.0000E+00  0.0000   9.9693E-04  0.0316
   4.0738E-03   4.3652E-03   6.9944E-04  0.0371   3.1545E-04  0.0541   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0149E-03  0.0314
   4.3652E-03   4.6774E-03   7.0728E-04  0.0369   3.2557E-04  0.0532   1.9958E-06  0.7071   0.0000E+00  0.0000   1.0358E-03  0.0310
   4.6774E-03   5.0119E-03   7.8796E-04  0.0350   3.8161E-04  0.0494   1.9958E-06  0.7071   0.0000E+00  0.0000   1.1716E-03  0.0292
   5.0119E-03   5.3703E-03   8.0144E-04  0.0346   3.9638E-04  0.0482   5.6747E-06  0.4113   0.0000E+00  0.0000   1.2055E-03  0.0288
   5.3703E-03   5.7544E-03   9.2245E-04  0.0322   4.1129E-04  0.0469   2.5928E-07  1.0000   0.0000E+00  0.0000   1.3342E-03  0.0273
   5.7544E-03   6.1660E-03   9.3801E-04  0.0320   4.3413E-04  0.0459   9.9792E-07  1.0000   0.0000E+00  0.0000   1.3741E-03  0.0269
   6.1660E-03   6.6069E-03   9.8670E-04  0.0310   4.8324E-04  0.0432   2.9938E-06  0.5773   0.0000E+00  0.0000   1.4729E-03  0.0260
   6.6069E-03   7.0795E-03   1.0476E-03  0.0302   5.0267E-04  0.0425   2.9008E-06  0.5779   0.0000E+00  0.0000   1.5538E-03  0.0253
   7.0795E-03   7.5858E-03   1.1867E-03  0.0283   5.4398E-04  0.0405   1.6961E-06  0.6627   0.0000E+00  0.0000   1.7324E-03  0.0240
   7.5858E-03   8.1283E-03   1.2066E-03  0.0280   5.5064E-04  0.0401   2.1268E-06  0.6664   0.0000E+00  0.0000   1.7593E-03  0.0238
   8.1283E-03   8.7096E-03   1.3199E-03  0.0267   6.7598E-04  0.0363   3.9917E-06  0.5000   0.0000E+00  0.0000   1.9998E-03  0.0223
   8.7096E-03   9.3325E-03   1.4078E-03  0.0259   6.3781E-04  0.0370   1.0643E-06  0.9397   0.0000E+00  0.0000   2.0467E-03  0.0221
   9.3325E-03   1.0000E-02   1.4886E-03  0.0251   6.6131E-04  0.0363   3.1831E-06  0.5463   0.0000E+00  0.0000   2.1535E-03  0.0215
   1.0000E-02   1.0715E-02   1.5489E-03  0.0246   7.0944E-04  0.0349   3.9917E-06  0.5000   0.0000E+00  0.0000   2.2623E-03  0.0210
   1.0715E-02   1.1482E-02   1.6213E-03  0.0240   7.0930E-04  0.0347   3.1075E-07  1.0000   0.0000E+00  0.0000   2.3312E-03  0.0207
   1.1482E-02   1.2303E-02   1.6330E-03  0.0238   7.9913E-04  0.0328   2.5798E-06  0.5831   0.0000E+00  0.0000   2.4359E-03  0.0202
   1.2303E-02   1.3183E-02   1.8001E-03  0.0227   8.1773E-04  0.0323   3.9917E-06  0.5000   0.0000E+00  0.0000   2.6225E-03  0.0195
   1.3183E-02   1.4125E-02   1.8576E-03  0.0223   8.6142E-04  0.0313   4.3452E-06  0.4665   0.0000E+00  0.0000   2.7253E-03  0.0191
   1.4125E-02   1.5136E-02   1.9376E-03  0.0219   9.2174E-04  0.0304   6.5643E-06  0.3672   0.0000E+00  0.0000   2.8700E-03  0.0186
   1.5136E-02   1.6218E-02   2.0914E-03  0.0210   9.7026E-04  0.0292   1.9958E-06  0.7071   0.0000E+00  0.0000   3.0656E-03  0.0180
   1.6218E-02   1.7378E-02   2.2245E-03  0.0203   1.0917E-03  0.0276   9.3212E-06  0.3194   0.0000E+00  0.0000   3.3271E-03  0.0173
   1.7378E-02   1.8621E-02   2.3425E-03  0.0197   1.0685E-03  0.0275   8.9522E-06  0.3079   0.0000E+00  0.0000   3.4219E-03  0.0171
   1.8621E-02   1.9953E-02   2.4255E-03  0.0193   1.2090E-03  0.0258   1.6223E-05  0.2404   0.0000E+00  0.0000   3.6534E-03  0.0165
   1.9953E-02   2.1380E-02   2.5509E-03  0.0188   1.2024E-03  0.0257   1.0959E-05  0.2886   0.0000E+00  0.0000   3.7652E-03  0.0163
