[ T - Deposit ]
    title = Energy Deposition
     mesh =  reg            # mesh type is region-wise
      reg = { 101 - 103 }
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
   dresol =  2.0000000E-01  # (D=0) width = sqrt(dresol**2 + dfano*E)
    dfano =  5.0000000E-02  # (D=0) width = sqrt(dresol**2 + dfano*E)
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =   10.00000      # maximum value of e-mesh points
#    edel =  6.9077553E-02  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  1.07152E-05  1.14815E-05  1.23027E-05  1.31826E-05
#           1.41254E-05  1.51356E-05  1.62181E-05  1.73780E-05  1.86209E-05
#           1.99526E-05  2.13796E-05  2.29087E-05  2.45471E-05  2.63027E-05
#           2.81838E-05  3.01995E-05  3.23594E-05  3.46737E-05  3.71535E-05
#           3.98107E-05  4.26580E-05  4.57088E-05  4.89779E-05  5.24807E-05
#           5.62341E-05  6.02560E-05  6.45654E-05  6.91831E-05  7.41310E-05
#           7.94328E-05  8.51138E-05  9.12011E-05  9.77237E-05  1.04713E-04
#           1.12202E-04  1.20226E-04  1.28825E-04  1.38038E-04  1.47911E-04
#           1.58489E-04  1.69824E-04  1.81970E-04  1.94984E-04  2.08930E-04
#           2.23872E-04  2.39883E-04  2.57040E-04  2.75423E-04  2.95121E-04
#           3.16228E-04  3.38844E-04  3.63078E-04  3.89045E-04  4.16869E-04
#           4.46684E-04  4.78630E-04  5.12861E-04  5.49541E-04  5.88844E-04
#           6.30957E-04  6.76083E-04  7.24436E-04  7.76247E-04  8.31764E-04
#           8.91251E-04  9.54993E-04  1.02329E-03  1.09648E-03  1.17490E-03
#           1.25893E-03  1.34896E-03  1.44544E-03  1.54882E-03  1.65959E-03
#           1.77828E-03  1.90546E-03  2.04174E-03  2.18776E-03  2.34423E-03
#           2.51189E-03  2.69153E-03  2.88403E-03  3.09030E-03  3.31131E-03
#           3.54813E-03  3.80189E-03  4.07380E-03  4.36516E-03  4.67735E-03
#           5.01187E-03  5.37032E-03  5.75440E-03  6.16595E-03  6.60693E-03
#           7.07946E-03  7.58578E-03  8.12831E-03  8.70964E-03  9.33254E-03
#           1.00000E-02  1.07152E-02  1.14815E-02  1.23027E-02  1.31826E-02
#           1.41254E-02  1.51356E-02  1.62181E-02  1.73780E-02  1.86209E-02
#           1.99526E-02  2.13796E-02  2.29087E-02  2.45471E-02  2.63027E-02
#           2.81838E-02  3.01995E-02  3.23594E-02  3.46737E-02  3.71535E-02
#           3.98107E-02  4.26580E-02  4.57088E-02  4.89779E-02  5.24807E-02
#           5.62341E-02  6.02560E-02  6.45654E-02  6.91831E-02  7.41310E-02
#           7.94328E-02  8.51138E-02  9.12011E-02  9.77237E-02  1.04713E-01
#           1.12202E-01  1.20226E-01  1.28825E-01  1.38038E-01  1.47911E-01
#           1.58489E-01  1.69824E-01  1.81970E-01  1.94984E-01  2.08930E-01
#           2.23872E-01  2.39883E-01  2.57040E-01  2.75423E-01  2.95121E-01
#           3.16228E-01  3.38844E-01  3.63078E-01  3.89045E-01  4.16869E-01
#           4.46684E-01  4.78630E-01  5.12861E-01  5.49541E-01  5.88844E-01
#           6.30957E-01  6.76083E-01  7.24436E-01  7.76247E-01  8.31764E-01
#           8.91251E-01  9.54993E-01  1.02329E+00  1.09648E+00  1.17490E+00
#           1.25893E+00  1.34896E+00  1.44544E+00  1.54882E+00  1.65959E+00
#           1.77828E+00  1.90546E+00  2.04174E+00  2.18776E+00  2.34423E+00
#           2.51189E+00  2.69153E+00  2.88403E+00  3.09030E+00  3.31131E+00
#           3.54813E+00  3.80189E+00  4.07380E+00  4.36516E+00  4.67735E+00
#           5.01187E+00  5.37032E+00  5.75440E+00  6.16595E+00  6.60693E+00
#           7.07946E+00  7.58578E+00  8.12831E+00  8.70964E+00  9.33254E+00
#           1.00000E+01
     axis =   eng           # axis of output
     file = deposit.out     # file name of output for the above axis
     part =  204Pb      63Cu       electron   positron   all      
# kf/name :  82000204   29000063   11         -11        0        
    y-txt = Response [cm^2]
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         207 (  0)           0 (  0)         207 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    101

x: Deposit Energy [MeV]
y: Response [cm^2]
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(204Pb   ),hh0l   n y(63Cu    ),hh0dr  n y(electron),hh0ub  n y(positron),hh0mg  n y(all     ),hh0qrr n 
#  e-lower      e-upper      204Pb       r.err    63Cu        r.err    electron    r.err    positron    r.err    all         r.err 
   7.9433E-05   8.5114E-05   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   5.9875E-06  0.4082
   8.5114E-05   9.1201E-05   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   3.9917E-06  0.5000
   9.1201E-05   9.7724E-05   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   7.9834E-06  0.3536
   9.7724E-05   1.0471E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.9938E-06  0.5774
   1.0471E-04   1.1220E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2973E-05  0.2774
   1.1220E-04   1.2023E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0977E-05  0.3015
   1.2023E-04   1.2882E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   4.9896E-06  0.4472
   1.2882E-04   1.3804E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   7.9834E-06  0.3536
   1.3804E-04   1.4791E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4969E-05  0.2582
   1.4791E-04   1.5849E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   8.9813E-06  0.3333
   1.5849E-04   1.6982E-04   9.9792E-07  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3971E-05  0.2673
   1.6982E-04   1.8197E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3971E-05  0.2673
   1.8197E-04   1.9498E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5967E-05  0.2500
   1.9498E-04   2.0893E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2973E-05  0.2774
   2.0893E-04   2.2387E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7963E-05  0.2357
   2.2387E-04   2.3988E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   8.9813E-06  0.3333
   2.3988E-04   2.5704E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.2952E-05  0.2085
   2.5704E-04   2.7542E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   9.9792E-07  1.0000   0.0000E+00  0.0000   1.7963E-05  0.2357
   2.7542E-04   2.9512E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   9.9792E-06  0.3162
   2.9512E-04   3.1623E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.4948E-05  0.2000
   3.1623E-04   3.3884E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.3950E-05  0.2041
   3.3884E-04   3.6308E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.9958E-05  0.2236
   3.6308E-04   3.8905E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0956E-05  0.2182
   3.8905E-04   4.1687E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.5946E-05  0.1961
   4.1687E-04   4.4668E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.6944E-05  0.1925
   4.4668E-04   4.7863E-04   9.9792E-07  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.9938E-05  0.1826
   4.7863E-04   5.1286E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.6944E-05  0.1925
   5.1286E-04   5.4954E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   3.4927E-05  0.1690
   5.4954E-04   5.8884E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   9.9792E-07  1.0000   0.0000E+00  0.0000   4.3909E-05  0.1508
   5.8884E-04   6.3096E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   3.3929E-05  0.1715
   6.3096E-04   6.7608E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   9.9792E-07  1.0000   0.0000E+00  0.0000   4.1913E-05  0.1543
   6.7608E-04   7.2444E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   4.3909E-05  0.1508
   7.2444E-04   7.7625E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   9.9792E-07  1.0000   0.0000E+00  0.0000   6.8857E-05  0.1204
   7.7625E-04   8.3176E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   5.4886E-05  0.1348
   8.3176E-04   8.9125E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   5.5884E-05  0.1336
   8.9125E-04   9.5499E-04   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   6.6861E-05  0.1222
   9.5499E-04   1.0233E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   8.8815E-05  0.1060
   1.0233E-03   1.0965E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   6.3867E-05  0.1250
   1.0965E-03   1.1749E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   5.7062E-07  1.0000   0.0000E+00  0.0000   8.7817E-05  0.1066
   1.1749E-03   1.2589E-03   2.9938E-06  0.5773   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   8.5821E-05  0.1078
   1.2589E-03   1.3490E-03   9.6509E-07  1.0000   0.0000E+00  0.0000   9.9792E-07  1.0000   0.0000E+00  0.0000   1.0179E-04  0.0990
   1.3490E-03   1.4454E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   9.9792E-07  1.0000   0.0000E+00  0.0000   1.1576E-04  0.0928
   1.4454E-03   1.5488E-03   9.9792E-07  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0179E-04  0.0990
   1.5488E-03   1.6596E-03   1.9958E-06  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2175E-04  0.0905
   1.6596E-03   1.7783E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2274E-04  0.0902
   1.7783E-03   1.9055E-03   9.9792E-07  1.0000   0.0000E+00  0.0000   6.9525E-07  1.0000   0.0000E+00  0.0000   1.4969E-04  0.0816
   1.9055E-03   2.0417E-03   9.9792E-07  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3771E-04  0.0851
   2.0417E-03   2.1878E-03   9.9792E-07  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3173E-04  0.0870
   2.1878E-03   2.3442E-03   2.2079E-07  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8162E-04  0.0741
   2.3442E-03   2.5119E-03   1.9958E-06  0.7071   0.0000E+00  0.0000   7.2036E-07  1.0000   0.0000E+00  0.0000   1.6366E-04  0.0781
   2.5119E-03   2.6915E-03   1.5610E-06  0.7340   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8661E-04  0.0731
   2.6915E-03   2.8840E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8561E-04  0.0733
   2.8840E-03   3.0903E-03   1.0282E-06  0.9710   0.0000E+00  0.0000   9.9792E-07  1.0000   0.0000E+00  0.0000   2.3252E-04  0.0655
   3.0903E-03   3.3113E-03   1.4643E-06  0.6083   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.6046E-04  0.0619
   3.3113E-03   3.5481E-03   7.7894E-07  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.6545E-04  0.0613
   3.5481E-03   3.8019E-03   6.7807E-07  0.9604   0.0000E+00  0.0000   5.6663E-07  1.0000   0.0000E+00  0.0000   2.3451E-04  0.0652
   3.8019E-03   4.0738E-03   1.8415E-06  0.6314   0.0000E+00  0.0000   1.2622E-07  1.0000   0.0000E+00  0.0000   2.9239E-04  0.0584
   4.0738E-03   4.3652E-03   3.7282E-06  0.5037   0.0000E+00  0.0000   9.9792E-07  1.0000   0.0000E+00  0.0000   3.2433E-04  0.0555
   4.3652E-03   4.6774E-03   5.2642E-06  0.4163   0.0000E+00  0.0000   2.2327E-06  0.6409   0.0000E+00  0.0000   3.3231E-04  0.0548
   4.6774E-03   5.0119E-03   3.2959E-06  0.4887   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   3.6324E-04  0.0524
   5.0119E-03   5.3703E-03   1.6220E-06  0.6727   0.0000E+00  0.0000   1.5544E-06  0.7351   0.0000E+00  0.0000   3.6225E-04  0.0525
   5.3703E-03   5.7544E-03   4.1320E-06  0.4561   0.0000E+00  0.0000   1.9958E-06  0.7071   0.0000E+00  0.0000   4.1015E-04  0.0493
   5.7544E-03   6.1660E-03   3.2377E-06  0.4595   0.0000E+00  0.0000   3.1117E-06  0.5220   0.0000E+00  0.0000   4.3110E-04  0.0481
   6.1660E-03   6.6069E-03   5.2856E-06  0.4067   0.0000E+00  0.0000   1.2165E-06  0.8303   0.0000E+00  0.0000   5.0395E-04  0.0445
   6.6069E-03   7.0795E-03   2.4515E-06  0.5881   0.0000E+00  0.0000   2.8805E-06  0.5049   0.0000E+00  0.0000   5.1792E-04  0.0439
   7.0795E-03   7.5858E-03   3.8801E-06  0.5002   0.0000E+00  0.0000   2.6104E-06  0.5382   0.0000E+00  0.0000   5.4087E-04  0.0430
   7.5858E-03   8.1283E-03   6.0282E-06  0.3795   0.0000E+00  0.0000   4.6119E-06  0.4506   0.0000E+00  0.0000   5.7979E-04  0.0415
   8.1283E-03   8.7096E-03   7.7019E-06  0.3382   0.0000E+00  0.0000   9.6441E-07  1.0000   0.0000E+00  0.0000   5.9676E-04  0.0409
   8.7096E-03   9.3325E-03   5.6322E-06  0.3752   0.0000E+00  0.0000   3.0460E-06  0.5256   0.0000E+00  0.0000   6.4765E-04  0.0393
   9.3325E-03   1.0000E-02   7.2947E-06  0.3461   0.0000E+00  0.0000   6.8300E-06  0.3587   0.0000E+00  0.0000   6.9555E-04  0.0379
   1.0000E-02   1.0715E-02   4.3027E-06  0.4550   0.0000E+00  0.0000   3.5379E-06  0.5013   0.0000E+00  0.0000   7.2150E-04  0.0372
   1.0715E-02   1.1482E-02   8.4604E-06  0.3121   0.0000E+00  0.0000   3.1264E-06  0.5418   0.0000E+00  0.0000   7.7639E-04  0.0359
   1.1482E-02   1.2303E-02   1.2443E-05  0.2528   0.0000E+00  0.0000   2.7918E-06  0.5325   0.0000E+00  0.0000   9.6599E-04  0.0321
   1.2303E-02   1.3183E-02   8.0643E-06  0.3112   0.0000E+00  0.0000   7.4053E-06  0.3263   0.0000E+00  0.0000   8.5622E-04  0.0341
   1.3183E-02   1.4125E-02   9.5680E-06  0.2854   0.0000E+00  0.0000   1.0014E-05  0.2744   0.0000E+00  0.0000   9.2308E-04  0.0329
   1.4125E-02   1.5136E-02   9.1422E-06  0.2767   0.0000E+00  0.0000   7.3380E-06  0.3340   0.0000E+00  0.0000   1.0398E-03  0.0310
   1.5136E-02   1.6218E-02   1.4443E-05  0.2337   0.0000E+00  0.0000   6.8329E-06  0.3017   0.0000E+00  0.0000   1.1815E-03  0.0291
   1.6218E-02   1.7378E-02   1.8333E-05  0.2108   0.0000E+00  0.0000   1.0297E-05  0.2780   0.0000E+00  0.0000   1.1945E-03  0.0289
   1.7378E-02   1.8621E-02   1.5040E-05  0.2260   0.0000E+00  0.0000   1.3105E-05  0.2512   0.0000E+00  0.0000   1.2853E-03  0.0279
